Τίτλος του δίσκου;Τίτλος τραγουδιού;Συνθέτης;Στιχουργός;Τραγουδιστής;ΕΤΑΙΡΕΙΑ;Ετος κυκλοφ.;Στίχοι;Εκτέλεση;Χρόνος
Μόνο η αρχή;Με αγάπη;12ος πίθηκος;12ος πίθηκος;12ος πίθηκος & Hatemost;ΙΔΙΩΤΙΚΗ ΕΚΔΟΣΗ;2008-01-25;"12ος Πίθηκος
Κοίταξε ψηλά τα αλάνια πετάνε
φέρνουν καπνό με ρυθμό για όσους το νιώθουν και τ`αγαπάνε
για όσους τα κεφάλια τους κουνάνε και στα live τα`σπάνε
σ`αυτούς που μας στηρίζουν One Love και δυο
καπνισμένες κάννες μέσα από ζαλάδες φέρνουν μπελάδες
θα τους δείς ν`αράζουν με κακόφημες ομάδες
από το Γαλάτσι μέχρι την Καλαμαρία
θέλω όλα τα τσακάλια με τα χέρια τους ψηλά.

Hatemost
Με το ένα δύο τρία τα τσιγάρα ψηλά
από τους αληθινούς για τους αληθινούς ναι τους πύρινους
φτύνω στίχους κάτι χρόνια σταθερά
για τους Βασιλιάδες της Ελλάδας που το πάν`μπροστά
κάπως έτσι λοιπόν η καρδιά μας μιλάει
κι`αν την αγγίξεις μάγκα μου θα δείς πως ρυθμικά χτυπάει
απ`τα ηχεία στον τοίχο και από τον τοίχο κυλάει
σ`ένα χορό που τα σπάει και ένα δίσκο που γυρνάει.

12oς Πίθηκος
Τρία δύο ένα η βρωμιά αυτοπροσώπως
με πτυχίο απ`τον δρόμο αν κάνεις τον αστυνόμο
μας πάς και κερδίζεις κάτι από`μάς
άσε μην μας την σπάς δε φταίμε που δεν τ`αγαπάς
κίνηση χρώμα style βινύλια ρυθμός
δώσε μας και πάρε μας την ψυχή μην ρωτάς το πώς
δυστυχώς ή ευτυχώς στην ζωνη του πυρός
12ος και Hatemost δυό μικρόφωνα και πολύς καπνός.

Hatemost
Κανονικά και με τον νόμο μας ροκάρουμε
στα μικρόφωνα μάγκα έτσι σκοτώνουμε τον χρόνο μας
μην κοιτάς τον θρόνο μας αράζουμε μόνοι μας
τσιλάρουμε κάθε μέρα κάνουμε το χόμπυ μας
απ`τον δρόμο κατευθείαν την αληθινή σχολή
τα πάρκα και τα στέκια που το style ευδοκιμεί
απο την πόλη στην πόλη που το μικρόβιο έχει ακόμη
απο το στόμα στου θεού τ`αυτί για να γουστάρουν όλοι.

Για όλα τα κακά παιδιά που φτύνουν σταθερά
για κάθε τύπο που η βαλβίδα του ποτέ δε σταματά
για το μικρόφωνο που παίρνει κάθε βράδυ φωτιά
για κάθε τοίχο που πάνω του ιστορία κουβαλά
για κάθε δίσκο που γυρίζει τον mc πάντα στηρίζει
για κάθε beat που μπριζώνει ένα b boy να θερίζει.
είναι απλό είναι αγνό βγαίνει πάντα σκληρό
κι`είναι hardcore η αγάπη μας στο λαό.

Hatemost
Κατατάσσομαι στους hardcore κάπου ψηλά
μαζί μου πάντα κι σελίδα που γράφω για να δω
χέρια ψηλά με ποτήρια ουίσκι και πάγο
φέρτε φωτιά να δουν το πάρτι πως ανάβω
και θα`χω πάντα υλικό καριόλη θα`χω
και το ατού κάνω να μπιστάν πάντοτε οι από κάτω
μ`ένα σάλτο έφυγα απ`το πάρκο
και βρέθηκα στα`κούστικά σου ρίμες να υπογράφω.

12oς Πίθηκος
Ρε ξές ποιος είμαι που πάω γυρνάω τι κάνω τα βράδια μου
που αράζω για να γελάω πάντοτε στα κομμάτια μου
μα από που και να σε μεσ`την Ελλάδα είσαι στο χάρτη μας
εκτιμάμε και πετάμε όταν τα σπάς για πάρτι μας
όσους νιώθουν εκπροσωπώ
τα παιδιά που κρατάν το χιπ χοπ ζωντανό
βρώμικοι κι`δυο σαν ασπρόμαυρη ταινία
σήμερα εδώ οι τσάκαλοι γράφουν ιστορία.

Hatemost
Ντόπα γραμμές για τους αλήτες
που γυρνάνε δεν κάθονται και πετάνε style τις νύχτες
μας είδες της πόλης οι ατσίδες
ξεβρακώνουμε άσχετους γιατί μας λένε πίπες
τι είπες μάγκα τίποτα κακό
την αλήθεια για τους μάγκες που δεν το`χουν γι`αυτό
να κάνουν πίσω δεν τους παίρνει δεν τους βγαίνει μην επιμένουν
τέλος σημαίνει τουμπεκί το ταλέντο μένει.

12oς Πίθηκος
Γιατί το έμπειρο αυτί θα πει αυτί η λούπα είναι γνώστη
props στα αλάνια που την έχουν πρώτοι εκμεταλλευτεί
όλα γυρνάνε ξεκινάνε μάγκα από εκεί
η φλόγα άναψε φούντωσε έχει εξαπλωθεί
δηλαδή όποιος δε σεβαστεί να πάει να γαμηθεί
δεν το έχει στην καρδία του και δεν το εκπροσωπεί
δεν μου λες τώρα θα πούμε αυτά που θες
χαιρετίσματα απ`τον Βασιλιά του τελευταίου verse.

Για όλα τα κακά παιδιά που φτύνουν σταθερά
για κάθε τύπο που η βαλβίδα του ποτέ δε σταματά
για το μικρόφωνο που παίρνει κάθε βράδυ φωτιά
για κάθε τοίχο που πάνω του ιστορία κουβαλά
για κάθε δίσκο που γυρίζει τον mc πάντα στηρίζει
για κάθε beat που μπριζώνει ένα b boy να θερίζει.
είναι απλό είναι αγνό βγαίνει πάντα σκληρό
κι`είναι hardcore η αγάπη μας στο λαό.
Για όλα τα κακά παιδιά που φτύνουν σταθερά
για κάθε τύπο που η βαλβίδα του ποτέ δε σταματά
για το μικρόφωνο που παίρνει κάθε βράδυ φωτιά
για κάθε τοίχο που πάνω του ιστορία κουβαλά
για κάθε δίσκο που γυρίζει τον mc πάντα στηρίζει
για κάθε beat που μπριζώνει ένα b boy να θερίζει.
είναι απλό είναι αγνό βγαίνει πάντα σκληρό
κι`είναι hardcore η αγάπη μας στο λαό.";1;2008
12;Χάρισμα;12ος πίθηκος;12ος πίθηκος;12ος πίθηκος & Dj Waif;KNOCKOUT RECORDS;2012-12-12;"Εδώ όλος ο κόσμος θέλει να πηδήξει δηλαδή εσύ τι είσαι ο μάγκας? και εγώ τι είμαι ο μαλάκας? εγώ δεν είμαι ρεμάλι εγώ είμαι αυτός που είμαι κατάλαβες? τι λέει η φιλοσοφία γιαυτο?

Hehehehey
knotout records dope beats studios
aha! 2012 είναι το φρέσκο το φρέσκο σκάει το φρέσκο το φρέσκο ότι σκέφτομαι και νιώθω το εκφράζω μάγκα και αυτό είναι χάρισμα ακριβώς χάχα ακριβώς καλά κατάλαβες αυτό λέγεται χάρισμα ότι σκέφτομαι και νιώθω το γράφω αυτό είναι χάρισμα με γάμησες σε ξεφτίλισα αυτό είναι ξεκαθάρισμα 1+1=2 αυτό άρθροισμα την γλύτωσες 2 φορες την τρίτη θα λες καϊκά 30 στο 12 αυτό είναι προβάδισμα upercut στο σαγόνι το ""εναλκτιριο"" λάκτισμα γονάτισμα βάπτισμα ιδεών αυτό είναι φόνος πάντα εκ προ μελέτης ούτε δόλος ούτε φθόνος στο μικρόφωνο δολοφόνο άρα φόνο το δόλο μυαλό ξυράφι σκύλε όχι στίχος από κόλο με ρωτάς εάν είμαι solo σου λέω δεν παίζει ρολο έχω κράσε έχω πελίνα αυτό είναι dope beat για τον κόσμο καρδιές βγάζουν φωτιές καυτές στις συναυλίες μου αυτός είναι ο κόσμος μου kiri και κυριες μου αυτή είναι η ""σκατοφατσα"" μου και αυτός είμαι εγώ αυτό είναι βρωμικο αυτό είναι bπάρι πυροβολικό αυτό είναι σύχρονο για μόρτες και λεβέντηδες ποτε για ρουφιάνους και ποτε για πισογλεντιδες τι είπες ο δωδέκατος είναι για κοριτσάκια όταν με άκουγε η μαννούλα σου σε έκανε αδερφάκια okay μωρό μου? το πήρα ""επωμου"" αυτό λέγεται έκφραση για κάθε αδερφό μου αυτό είναι αριστούργημα για τα παιδιά του δρόμου από μένα για σας αδέρφια άντε και του χρόνου

ότι σκέφτομαι και νιώθω το εκφράζω μάγκα και αυτό είναι χάρισμα

μέτωπο καθαρό αυτό είναι η τιμή μου οικογένεια φίλη μουσική αυτή είναι η μουσική μου βλέπεις σύννεφα καπνού στην γωνια αυτοί είναι η δικη μου παγκάκι και ρετσίνα αυτό είναι το στιλ μου οι γκούρα μου μικρή μα πάντα χώρας αλήτη μου 40 τετραγωνικά αυτό είναι το σπίτι μου βλέπεις κάτι να σηκώνεται όχι δεν είναι η μύτη μου ένα level πιο ψιλά ανεβαίνει πάλι ο πήξης μου κερνάει μπουκάλια σε μουνιά είναι γλοιώδεις και αστείος ποιος αυτός είναι ο ""επιικιος"" γελοίος το παίζει μάγκας που έχει φράγκα ενώ είναι παιδί τις φάπας ποιος? αυτός είναι ο λεγόμενος μαλάκας κάνει sex για πληρωμή αυτή είναι πουτάνα σεβαστή όχι εσύ εσύ είσαι πουτάνα στην ψυχή είμαι καλός και χαμογελαστός αν θες γίνομαι ""αγαρπος"" αν μου τη φέρεις ο ακης ο χειρότερος μπάσταρδος αυτό λέγεται χτύπημα αυτό είναι άλλο επίπεδο δυνατή κυριακή αυτή είναι κουράκη στο γήπεδο κάνουνε bam για 2 χρονια και σπάνε αυτό είναι φούσκα δωδέκατος onpus στην ελλάδα αυτά είναι κούστα η ζωή μου η πουτάνα που με εμπνέει αυτή είναι μούσα είναι hip hop αυτό που ζω αυτό που ζω και ζούσα η αγάπη του κόσμου είναι η ανταμοιβή και όταν είμαι στην σκηνή αυτό είναι βόμβα πυρηνική

ότι σκέφτομαι και νιώθω το εκφράζω μάγκα και αυτό είναι χάρισμα";1;2012
Αξιοπρέπεια;Χαστούκι;Madness Key;12ος πίθηκος;12ος πίθηκος;ΙΔΙΩΤΙΚΗ ΕΚΔΟΣΗ;2018-03-13;"Είναι χαστούκι...

Θα 'ρθεις μια μέρα να μου πεις πως όλα πήγαν στραβά...
Και πως μετάνιωσες πικρά για όσα είχες κάνει παλιά...
Τώρα σκάσε και κολύμπα, βούτηξες στα σκατά
κι έφτασε η ώρα να πλερώσεις έτσι πάει, σωστά;

Πατέρα δρόμε, τα παιδιά σου γίνανε άντρες μ' αυτά,
τα νταλαβέρια της ζωής για μας κοινά μυστικά...
Και τα κρατάμε σφιχτά σαν την λευτεριά που σκοτώνει,
είναι ο κύκλος μας κλειστός, σα να κρατάμε περόνη...

Όλοι ψάχνουμε μια λύση να βρούμε μέσα στην κρίση,
κάποιος για να επιβιώσει, άλλος για να 'κονομίσει...
Πριν την δύση, κάποιος την ψυχή του θα πουλήσει,
πριν λυγίσει κάποιος άλλος, με θάρρος αίμα θα φτύσει.

Μα η πείνα έρχεται και φεύγει, πως να στο εξηγήσω…
Η αξιοπρέπεια σου αν φύγει δεν γυρίζει πίσω...
Και καλώς ή κακώς, όλα γίνονται για αυτά,
να τους πείτε δεν γινόμαστε πουτάνες για χαρτιά!

Και όταν σκάμε, οι μπάτσοι μας στραβοκοιτάνε,
που το πάνε; Δε γουστάρουν τα ρούχα που φοράμε,
τι ζητάνε; Δε γουστάρουν τον τρόπο που περπατάμε,
τα μούτρα μας λένε και τα μυαλά που κουβαλάμε.

Γελάμε... Δεν μιλάμε για ντρόγκια και για σαμπάνιες,
μεγιστάνες... Όχι μάγκες, τα έχουμε σιχαθεί...
Έχουμε δει ανθρώπια μας, που 'χουν καταστραφεί,
από μαλάκες, τζόγο, ντρόγκια και καριόλες στη ψυχή...

Δεν είμαι ο μπρούκλης που σε πάει στα καλά μαγαζιά,
με τα ωραία ρουχαλάκια, τα φτιαγμένα μαλλιά...
Εγώ είμαι αλήτης μωρό μου, με αρχές και μεγάλη καρδιά,
είμαι κοπρόσκυλο, η ράτσα μου αγαπάει σκληρά.

Ζούμε μέρες παγωμένες, οι καρδιές μας ματωμένες,
οικογένειες διαλυμένες, απόψε ραγίζουν πένες...
Σουρωμένοι ανταλλάζουμε τις πιο βαριές κουβέντες,
γιατί ο πόνος και τα βάσανα είναι για τους λεβέντες...

Είναι χαστούκι – για τις μέρες που ξεχνάς να 'σαι εδώ...
Είναι χαστούκι – για τις μέρες που κοιτάς το κενό...
Είναι χαστούκι – για τις μέρες που ξεχνάς ότι ζεις...
Είναι χαστούκι αυτό, μ' ακούει κανείς;

Είναι χαστούκι – για τις μέρες που ξεχνάς να 'σαι εδώ…
Είναι χαστούκι – για τις μέρες που κοιτάς το κενό...
Είναι χαστούκι – για τις μέρες που ξεχνάς ότι ζεις...
Είναι χαστούκι αυτό, μ' ακούει κανείς;

Αγγίζουμε καρδιές, μεγαλώνουμε γενιές,
μες στο στρες την παλεύουμε, ισιώνουμε αναποδιές…
Αν ματώσαμε μαζί είσαι αδερφός μου και το 'ξες,
vlla, hermano, bratan, πες το όπως θες.

Αυτή η χώρα είναι γεμάτη από δικά μου παιδιά,
τα βάφτισε η μουσική μου, ο νονός απ' το Βορρά!
Δεν γουστάρουμε ρουφιάνους, σκάρτους, διπρόσωπα φίδια...
Βρωμάτε, έξω από τα σπίτια μας σκουπίδια!

Αΐντα, πάμε, τραγουδάμε και ξεσπάμε,
λίγες φορές συγχωρούμε, μα ποτέ μας δεν ξεχνάμε…
Δίχως λόγο σωπαίνετε, έχουμε λόγο να τα σπάμε,
τα αδέρφια μας πεινάνε , τα μυαλά μας πονάνε...

Βαστάμε, βαράτε ρε, αντέχουμε να πούμε,
δέκα φορές πέφτουμε, δώδεκα θα σηκωθούμε!
Ζούμε ζόρικα το σήμερα, για ένα αβέβαιο αύριο,
Ελλάδα η φυλακή μας, τραγουδάμε στο προαύλιο...

Αυτή είναι η αλήθεια και η αλήθεια πονάει,
η εκμετάλλευση στη χώρα της πουστιάς κυβερνάει...
Μπασταρδοκρατία έχουμε, το σκέφτομαι πριν μπλέξω,
λίγοι έχουνε λόγο με μπέσα και αρχίδια εκεί έξω.

Να 'χεις αξίες, αξίες που κρατάνε,
γιατί όταν τα καταφέρνεις όλοι πέφτουν να σε φάνε...
Εύχομαι σε όποιον παλεύει να βρει την ανταμοιβή του,
κανένας γονιός να μην ξαναθάψει το παιδί του.

Μες στο χάος ψάχνομαι και 'γώ να βρω την άκρη,
ο χρόνος είναι χρυσάφι, διαμάντι κάθε δάκρυ μου...
Κράτα με να σε κρατάω πάντοτε αδερφάκι μου
και όταν χρειαστεί θα σε κουβαλήσω στην πλάτη μου...

Η φτώχια φέρνει φόβο και ο φόβος απελπισία,
να μην κάνεις τη μιζέρια τρόπο ζωής , είναι αδικία…
Φόβος, άγχος, στρες, μας θέλουν σε κώμα, ξεκόλλα, δεν πεθάναμε ακόμα...

Είναι χαστούκι – για τις μέρες που ξεχνάς να 'σαι εδώ…
Είναι χαστούκι – για τις μέρες που κοιτάς το κενό...
Είναι χαστούκι – για τις μέρες που ξεχνάς ότι ζεις...
Είναι χαστούκι αυτό, μ' ακούει κανείς;

Είναι χαστούκι – για τις μέρες που ξεχνάς να 'σαι εδώ…
Είναι χαστούκι – για τις μέρες που κοιτάς το κενό...
Είναι χαστούκι – για τις μέρες που ξεχνάς ότι ζεις...
Είναι χαστούκι αυτό, μ' ακούει κανείς;";1;2018
12ος πίθηκος;Καθήστε φρόνιμα;12ος πίθηκος;12ος πίθηκος;12ος πίθηκος;ΙΔΙΩΤΙΚΗ ΕΚΔΟΣΗ;2011-04-11;"Λόγος φωτιά δωδέκατος μικρόφωνα ανοικτά
raps που κάνουνε να λάμπει το παιδί απ την γειτονία
πιστός στο ραντεβού μου να δίνω flows και skills
σαν τον jay κάθε παρασκευή και δεκατρείς
το 'πα και το ξαναλέω μ' αγάπη απο Σαλόνικα
πρόσεχε κολλητέ γιατί εδώ παίζουμε βρωμικα
ονόματα παίζουνε μπόλικα αναβολικά
δε χρειάστηκα ποτέ για να το κρατάω ψηλά
πάρε δρόμο τώρα έρχεται verse σαν μπόρα
που θα βρέξει για να δώσει style σε όλη τη χώρα
κάπως έτσι πάει σαν λάβα κυλάει
να το θυμάσε πόζερε το style είναι που μετράει
άνοιξε τα μάτια και κοίταξε ψηλά
αν δείς καπνούς κάπου θα έχω βάλει φωτιά
ειμ' εμπρηστής μικροφώνων πάντα κινούμε σαν σκιά
όπλο του ninja επίθεση αιφνιδιαστικά.

Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.
Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.

Είμαι ο ήρωας του κόμικ που δε διάβασες ποτέ
αυτός που φτύνει λάβα και διεστραμμένα κουπλέ
σε κάθε story με όπλο τη γλώσσα κόκαλα σπάει
Dr Jekyll σαν profile και αν τρελαθεί Mr Hyde
κυνηγάει τους βρωμικους άπληστους ανθρώπους
με τεχνικές καπνού και χίλιους άλλους ένα τρόπους
κατοικεί σε κάθε σπίτι που μπαίνει σαν μουσική
από στόμα σε στόμα θα μαθευτεί θα εξαπλωθεί
ίσως τον έχεις δει σε κάποια ταράτσα την αυγή
με στυλό και χαρτί παντού τριγύρω του καπνοί
λόγος σπαθί τα beats του Mike του κόβουν τ' αυτί
background η πόλη που ο πύργος έχει μ' αίμα βαφτεί
την σκοτεινής πλευρά της αλήθειας καραδοκεί
ο ήρωας θα πέθαινε αν δεν είχε ψυχή
γι' αυτό γυρνάει στα στενά τα βράδια με προσοχή
γιατί η κουλτούρα του ενώνει και σκοτώνει ρε 'συ.

Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.
Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.

Ο λόγος μου έντονος και δυνατός σαν τανκ
τσακ μπαμ και κάτω και γεια χαρά νταν με πιάνεις
άστο άστο καλύτερα άμα δεν τ' αγαπάς
γιατί μιλάς πάλι μιλάς πίσω απ τις μάσκες που φοράς
η διαφορά μας είναι ότι έχουμε άλλη πορεία
είσαι κυρία δεν κάνεις για μεγάλη κατηγορία
προσπάθησες μα δεν είχες ταλέντο και χάθηκες
σε πιάσαν να κοιμάσαι στον πάγκο ντροπιάστηκες
γατάκι κάτσε καλά εδώ μιλάν οι λύκοι
πανσέληνος ξανά μπροστά και ο δρόμος μας ανοίγει
λίγοι κρατάν τη φλόγα δυνατή
εδώ μιλάει η καρδιά του πολεμιστή
και μεσ'τις φλέβες κυλάει πάντοτε καυτό
ο δρόμος η βρωμα αυτά που εκπροσωπώ
υλικό που τ' ακούς και σου μένει στο μυαλό
και το σιγοτραγουδάς όταν στρίβεις κάνα ρο.

Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.
Καθίστε φρόνιμα γιατί αλλιώς θα έχουμε πρόβλημα
η Ελλάδα γέμισε με πουτάνες που κράζουν μόνιμα
δίχως λόγο αιτία και αφορμή νομίζουνε
πως το να βρίζεις θα σε κάνει mc.";1;2011
Του Αιγαίου η μοναξιά;Βιογραφικόν;Αγάς Κώστας;Αγάς Κώστας;Αγάς Κώστας & Δεληγιαννίδου Αλέξια;ΙΔΙΩΤΙΚΗ ΕΚΔΟΣΗ;2000-12-01;"Ήταν μια θάλασσα πλατιά
η πρώτη μου εικόνα
που με καλούσε στα βαθιά
ν' αρχίσω τον αγώνα.

Μα η θάλασσα αγρίεψε
και σκίστηκαν τα ουράνια
ο τρόμος μας κυρίεψε
κι η εθνική ορφάνια.

Με βρήκαν μέρες της ντροπής
και μου 'πάν' ""καλημέρα""
κι η Ελλάδα έμοιαζε θαρρείς
θλιμμένη περιστέρα.

Καράβι πήρα κι έφυγα
στο χάος για ταξίδι
σε νέους κόσμους έφτασα
ν' αρχίσω άλλο παιχνίδι.

ΡΕΦΡΑΙΝ ∙
Μες στα μάτια σου αρμενίζει
του Αιγαίου η μοναξιά
κι η ψυχή σου φτερουγίζει
σε μια Ελλάδα που ξεψυχά.

Κι αν ο έρωτάς μας τώρα
στα πελάγη έχει κλειστεί
σε δυό χούφτες άγιο χώμα
είναι όμορφη η ζωή.

2.
Ποιοι ήπιανε τις θάλασσες, 
ποιοι κλέψανε τα ουράνια, 
ποιοι φτιάξαν ύπουλες σκιές
για των παιδιών τα μάτια;

Τους πόθους μας παγίδεψαν
οι γυάλινες οάσεις
αφού μ' αυτές μας έθρεψαν
του κόσμου οι τηλεοράσεις.

Στα κλαμπ μας υποδέχτηκαν
πολύχρωμα φεγγάρια
μα απ' την ψυχή μας κόπηκαν
τα πιο όμορφα κλωνάρια.

Κι αν πρόωρα γεράσαμε
ζητώντας μιαν αγάπη
μονάχοι ξεπεράσαμε
άλλων γενιών τα πάθη.

ΡΕΦΡΑΙΝ∙
Μες στα μάτια σου αρμενίζει ...

3.
Η μοίρα μας αρνήθηκε
των γιασεμιών το βλέμμα
μια πολιτεία πνίγηκε
στου χρόνου τ' άγριο ρέμα.

Ξερίζωσαν τις λεμονιές
από τις Κυριακές μας
και σε κουτιά μείναν κλειστές
οι παιδικές φωνές μας.

Τους στίχους μου τους κλείδωσα
σε μυστικά συρτάρια
τα χάδια σου αναζήτησα
που έχασα στα ζάρια.

Κι αν μοιάζει μ' άγονη γραμμή
η περιπλάνησή μου
εσύ είσαι δέντρο και πηγή 
στη μέση της ερήμου.


ΡΕΦΡΑΙΝ ∙
Μες στα μάτια σου αρμενίζει ...";1;2000
Και στο βάθος φώτα σε μώλο Αττικό;Ανατολίτικο;Αγάς Κώστας;Αγάς Κώστας;Φράγκος Δημήτρης;;2012-01-01;"Με του Τσιτσάνη τις άγιες πενιές
ταξίδι σε χώρες εξωτικές
έκανες για να ξεχάσεις καημούς
σε μαύρους και πονεμένους καιρούς.

Κι όταν η Ελλάδα ράγιζε σαν το γυαλί
απ' της Γκιουλμπαχάρ τα χείλη το γλυκό φιλί
μέσα σου φτερούγισε σαν τροπικό πουλί.

Ταξίδεψες με λαλιά μπουζουκιού
στις πολιτείες του παραμυθιού.

Οι έρωτες της μοιραίας Σεράχ
έσταξαν μέλι στα βαθιά σου ""αχ""
λουλούδι αράπικο φύτρωσ εκεί
που έβλεπες μόνο καμμένη γη.

Λόγια που μιλούσαν για στιγμές ερωτικές, 
για φιλιά και χάδια κάτω από τις χουρμαδιές
σου άνοιξαν παράθυρα σε νύχτες μαγικές.

Ταξίδεψες με λαλιά μπουζουκιού
στις πολιτείες του παραμυθιού.";1;2012
Πορεία στη νύχτα;Ωρα καλή;Μπακαλάκος Θωμάς;Αγγουλές Φώτης;Μπακαλάκος Θωμάς;MINOS ( EL );1977-01-01;"Ώρα καλή συνταξιδιώτες ώρα σας καλή
που φεύγετε απ' την άβυσσο και για τον ήλιο πάτε.

Βάλτε ρυθμό στο βήμα σας και στο τραγούδι σας θυμό
ξυπόλητοι περάσαμε της δυστυχίας τον ποταμό
κι ήταν το ρέμα δυνατό και θυμωμένη η λάμια
κι είχε ριγμένα στο βυθό κοπανισμένα τζάμια.

Την αλυσίδα μου κρατώ μη σέρνεται και κροταλεί
ν' ακούσω το τραγούδι σας καθώς περνάτε.

Την αλυσίδα μου κρατώ μη σέρνεται και κροταλεί
απόψε που σταυρώνεται σαν τον Χριστό η Ελλάδα.";1;1977
Τραγούδια του μεγάλου σηκωμού;Είμαι του ΕΛΑΣ αντάρτης;Αγνωστος συνθέτης;Αγνωστος στιχουργός;Χορωδία της Προοδευτικής Πανσπουδαστικής Συνδικαλιστικής Παράταξης;ΕΚΔΟΣΕΙΣ ΠΡΟΛΕΤΑΡΙΑΚΗ ΣΗΜΑΙΑ;2004-01-01;"Είμαι του ΕΛΑΣ αντάρτης και στα όρη κατοικώ
Και για την ελευθεριά μας και τον θάνατο αψηφώ        | 2x
 
Το τουφέκι μου στον ώμο το σπαθί μου στο πλευρό
Απ' τα όρη κατεβαίνω τους φασίστες κυνηγώ 
 
Δε φοβάμαι την κρεμάλα δε φοβάμαι το σχοινί
Και στο πέρασμά μου τρέμουν Ράλληδες και Γερμανοί
 
Ράλληδες ταγματαλήτες Μπουραντάδες, Γερμανοί
Τα κεφάλια σας θα πέσουν απ' τ' αντάρτικο σπαθί 
 
Μάνα μου, γλυκιά μου Ελλάδα ο Ο αντάρτης του ΕΛΑΣ
Θα σ' ανάψει τη λαμπάδα  της τιμής, της λευτεριάς 

";1;2004
Αντάρτικα 1941 1944;Είμαστε εμείς Ελλάδα τα παιδιά σου;Αγνωστος συνθέτης;Αγνωστος στιχουργός;Χορωδία Παύλου Ναλμπάντη;OLYMPIA;1977-01-01;"Είμαστε εμείς Ελλάδα τα παιδιά σου
οργανωμένα σε πόλεις και χωριά
και για σένα και για τη λευτεριά σου
θα αγωνιστούμε όλοι με καρδιά.

Δε μας τρομάζουν των Γερμανών/προδοτών τα βόλια,
των φασιστών τα άδοξα σπαθιά.
Το 'χουμε γράψει βαθιά μες στην καρδιά μας,
θάνατος, θάνατος ή ελευθεριά.

Έχουμε αρχηγούς μας παλληκάρια
που πολεμούνε μαζί μας σαν θεριά
κι έτσι μια μέρα όλοι μαζί θα πούμε:
Θάνατος, θάνατος ή λευτεριά.";1;1977
Μαζί;Φτου ξελευθερία;Αθανασάκος Λεωνίδας;Αθανασάκος Λεωνίδας;Σφακιανάκης Νότης;COBALT MUSIC;2014-11-25;"Γέννημα κοράκων πεινασμένων δράκων
στα δικά μας πτώματα ψάχνουν για φαί
μας εξουσιάζουν όρνεα που κράζουν
τώρα που την κυβερνούν κορμιά χωρίς ψυχή.

Μια βουλή Ελλήνων μαγαζί εκείνων
Ελλάδα μου σε βγάλανε σαν πόρνη στο κλαρί
κουφάλες νεκροθάφτες νταβατζήδες ράφτες
μέτρα κι αν μας παίρνετε η ώρα δεν αργεί.

Φτου ξελεφτερία σε όλα τα θηρία
με πρόβατα δε γράφτηκε καμία ιστορία.

Προσοχές βαράμε ψήφους μας ζητάνε
να είμαστε το άλλοθι στον φόνο τον δικό τους
να τους προσκυνάμε να τους ευλογάμε
για Θεό να έχουμε τον Αντίχριστό τους.

Μια Βουλή Ελλήνων, μαγαζί εκείνων..
Ελλάδα μου, σε βγάλανε, σαν πόρνη στο κλαρί
κουφάλες νεκροθάφτες νταβατζήδες ράφτες
μέτρα κι αν μας παίρνετε η ώρα σας θα 'ρθεί.";1;2014
